Region;Deutschland;Regionsschlüssel:;d;b
Gebietsstand;Mai 26;;;
Berichtsmonat;Zeitreihe;;;
Datenstand;Mai 26;;;
Rechtskreis;Insgesamt;;;
;;;;
;;;;
Berichtsmonat ;Bestand Arbeitslose ;Zugang Arbeitslose ;Abgang Arbeitslose ;Arbeitslosenquote 
Okt 15;2.649.280;595.810;654.560;6
Sep 15;2.708.040;643.270;730.780;6,2
Aug 15;2.795.600;645.010;622.040;6,4
Jul 15;2.772.640;599.840;538.390;6,3
Jun 15;2.711.190;587.540;638.050;6,2
Mai 15;2.761.700;542.600;623.740;6,3
Apr 15;2.842.840;660.320;748.960;6,5
Mrz 15;2.931.510;633.550;718.990;6,8
Feb 15;3.017.000;630.790;645.350;6,9
Jan 15;3.031.600;773.290;505.030;7
Dez 14;2.763.520;626.290;579.740;6,4
Nov 14;2.716.850;611.920;627.840;6,3
Okt 14;2.732.770;665.750;740.790;6,3
Sep 14;2.807.810;613.540;707.500;6,5
Aug 14;2.901.820;641.140;610.650;6,7
Jul 14;2.871.350;667.660;629.110;6,6
Jun 14;2.832.780;548.440;597.690;6,5
Mai 14;2.882.030;598.210;659.520;6,6
Apr 14;2.943.340;612.160;723.550;6,8
Mrz 14;3.054.720;628.080;711.230;7,1
Feb 14;3.137.870;634.420;632.360;7,3
Jan 14;3.135.800;801.400;539.410;7,3
Dez 13;2.873.810;624.500;556.840;6,7
Nov 13;2.806.150;610.750;605.790;6,5
Okt 13;2.801.190;670.880;718.620;6,5
Sep 13;2.848.950;634.580;731.300;6,6
Aug 13;2.945.710;709.210;677.530;6,8
Jul 13;2.914.100;659.840;610.420;6,8
Jun 13;2.864.670;553.010;625.260;6,6
Mai 13;2.936.920;609.690;692.990;6,8
Apr 13;3.020.280;616.510;694.050;7,1
Mrz 13;3.097.820;638.980;697.210;7,3
Feb 13;3.156.250;652.680;634.610;7,4
Jan 13;3.138.230;797.690;499.190;7,4
Dez 12;2.839.820;656.530;568.160;6,7
Nov 12;2.751.490;620.320;622.170;6,5
Okt 12;2.753.360;650.770;685.510;6,5
Sep 12;2.788.250;609.140;726.080;6,5
Aug 12;2.905.110;705.470;676.160;6,8
Jul 12;2.875.970;651.120;584.150;6,8
Jun 12;2.809.110;520.650;566.720;6,6
Mai 12;2.855.270;623.930;731.820;6,7
Apr 12;2.963.570;614.720;679.530;7
Mrz 12;3.028.410;627.110;708.490;7,2
Feb 12;3.110.440;655.690;628.040;7,4
Jan 12;3.084.710;837.620;539.140;7,3
Dez 11;2.780.980;671.710;604.540;6,6
Nov 11;2.713.810;695.950;719.810;6,4
Okt 11;2.737.670;606.590;665.230;6,5
Sep 11;2.796.310;636.130;785.290;6,6
Aug 11;2.945.550;747.790;742.200;7
Jul 11;2.939.950;686.480;640.530;7
Jun 11;2.893.990;645.730;712.360;6,9
Mai 11;2.960.620;588.850;706.760;7
Apr 11;3.078.570;650.930;783.470;7,3
Mrz 11;3.211.230;650.820;752.350;7,6
Feb 11;3.313.210;700.810;733.910;7,9
Jan 11;3.345.970;932.140;598.030;7,9
Dez 10;3.011.590;744.590;659.980;7,1
Nov 10;2.926.970;746.560;760.600;6,9
Okt 10;2.941.020;696.970;782.780;7
Sep 10;3.026.830;705.320;861.700;7,2
Aug 10;3.183.220;799.620;803.320;7,6
Jul 10;3.186.930;795.900;757.570;7,6
Jun 10;3.148.610;715.850;803.600;7,5
Mai 10;3.236.360;692.540;856.340;7,7
Apr 10;3.400.160;789.450;949.780;8,1
Mrz 10;3.560.490;730.370;805.220;8,5
Feb 10;3.635.350;759.220;733.830;8,6
Jan 10;3.610.050;970.370;628.520;8,6
Dez 09;3.268.170;744.320;684.200;7,8
Nov 09;3.208.040;738.310;751.470;7,6
Okt 09;3.221.210;735.140;852.820;7,7
Sep 09;3.338.880;759.270;883.830;7,9
